User,City,Year,Month,Day,Time,Amount,Is Fraud?,Mitigation,Outcome,weight
119,Meerut,2025,6,6,6:02,1197259.94,No,,,
63,Ludhiana,2025,10,17,6:56,272276.2288,No,,,
13,Munger,2025,7,16,20:46,405253.7188,No,,,
60,Durg,2025,1,13,6:39,403943.216,No,,,
62,Avadi,2025,11,17,14:40,456825.8584,Yes,,,
139,Patna,2025,2,18,6:33,388063.0056,No,,,
122,Shahjahanpur,2025,10,31,9:52,1318519.994,No,,,
169,Srinagar,2025,8,12,6:30,248918.4436,Yes,,,
90,Dindigul,2025,11,14,6:57,295325.6604,Yes,,,
23,Guwahati,2025,4,21,6:31,317835.4732,No,,,
136,Panihati,2025,7,24,6:47,310357.8984,No,,,
145,Hyderabad,2025,3,18,6:37,197115.0388,Yes,,,
107,Saharanpur,2025,3,29,6:30,375266.3312,No,,,
147,Madurai,2025,7,22,13:12,624416.04,No,,,
94,Gaya,2025,4,9,21:00,307428.5392,No,,,
100,Madurai,2025,3,8,6:56,238048.9792,No,,,
82,Bilaspur,2025,1,23,6:51,392611.2212,No,,,
5,Allahabad,2025,4,13,10:50,123187.2632,No,,,
21,Katihar,2025,7,3,5:06,740125.7284,No,,,
6,Gandhidham,2025,6,24,13:20,104763.1356,No,,,
121,Nizamabad,2025,10,26,5:36,1196643.233,No,,,
60,Bulandshahr,2025,11,9,20:29,92120.638,Yes,,,
97,Patna,2025,8,10,12:10,76240.4276,No,,,
173,Korba,2025,4,16,6:29,985266.8404,No,,,
48,Durg,2025,10,5,9:52,502308.0144,No,,,
78,Kharagpur,2025,11,4,6:51,317218.766,No,,,
144,Gopalpur,2025,12,7,6:25,943407.8392,No,,,
44,Ahmedabad,2025,4,11,16:34,308816.1304,No,,,
15,Allahabad,2025,6,24,6:10,1169585.205,Yes,,,
56,Agartala,2025,1,15,16:50,276284.8256,No,,,
31,Bhilai,2025,11,12,22:17,1301483.457,No,,,
177,Kochi,2025,12,10,21:12,643456.8748,No,,,
154,Madurai,2025,11,23,12:48,-639833.72,No,,,
121,Korba,2025,9,21,6:55,291625.4172,No,,,
166,Bhagalpur,2025,2,8,6:26,1118398.507,No,,,
153,Ranchi,2025,9,30,6:08,994209.0948,No,,,
36,Noida,2025,7,20,13:24,735962.9548,No,,,
170,Jaipur,2025,10,19,6:28,992513.15,No,,,
103,Mau,2025,10,3,13:25,516029.7496,No,,,
154,Madurai,2025,11,18,13:13,81944.9692,No,,,
171,Asansol,2025,11,19,6:09,1257157.627,No,,,
61,Belgaum,2025,4,30,9:39,270580.284,No,,,
21,Katihar,2025,9,6,17:56,60745.6592,No,,,
44,Ahmedabad,2025,3,1,7:26,195110.7404,No,,,
82,Bilaspur,2025,1,18,13:46,529597.308,No,,,
156,Dhanbad,2025,3,28,20:12,1296318.534,No,,,
164,Katihar,2025,9,15,13:05,763175.16,No,,,
2,Kollam,2025,10,18,11:32,14184.2656,No,,,
98,Bhilai,2025,1,19,12:26,111701.0916,No,,,
80,Bhopal,2025,4,4,13:06,-1379882.36,No,,,
43,Thane,2025,6,16,13:48,678377.92,No,,,
23,Khammam,2025,5,9,6:22,1326228.834,No,,,
65,Nagpur,2025,3,31,6:32,305347.1524,Yes,,,
180,Baranagar,2025,6,19,6:42,353989.9328,No,,,
62,Hospet,2025,9,19,14:11,24437.0228,No,,,
99,Hyderabad,2025,9,29,14:13,34689.78,No,,,
134,Udaipur,2025,3,10,16:49,942328.6016,Yes,,,
70,Kurnool,2025,1,12,6:10,187864.4308,No,,,
185,Naihati,2025,6,29,6:02,1046166.676,No,,,
183,Jaipur,2025,2,28,5:51,1077927.097,No,,,
48,Vijayanagaram,2025,12,4,20:11,1243435.892,No,,,
95,Satara,2025,7,26,18:35,54886.9408,No,,,
58,Kakinada,2025,2,3,5:41,524355.2968,No,,,
55,Kharagpur,2025,4,1,11:52,270503.1956,No,,,
8,Thoothukudi,2025,1,1,21:10,649238.5048,No,,,
116,Mathura,2025,12,14,21:01,1226168.09,No,,,
96,Tiruppur,2025,10,10,13:37,262871.444,No,,,
10,North Dumdum,2025,10,2,6:30,395540.5804,No,,,
53,Haridwar,2025,9,10,11:47,11640.3484,No,,,
173,Vijayawada,2025,4,23,20:27,449271.1952,No,,,
46,Nadiad,2025,3,25,13:22,-416277.36,No,,,
28,Bhubaneswar,2025,10,23,5:26,798481.6472,No,,,
94,Naihati,2025,1,1,20:50,212070.1884,No,,,
188,Pimpri-Chinchwad,2025,1,26,6:35,218622.7024,No,,,
46,Jammu,2025,12,29,20:04,511944.0644,No,,,
128,Guntur,2025,2,28,6:14,759012.3864,No,,,
145,Ranchi,2025,3,30,20:11,663885.3008,No,,,
46,Jaipur,2025,1,26,13:09,447112.72,No,,,
139,Siliguri,2025,2,1,6:22,803106.9512,No,,,
70,Katihar,2025,12,21,7:44,303111.5888,No,,,
121,Asansol,2025,9,10,6:56,354914.9936,No,,,
121,Asansol,2025,9,25,6:22,1209825.35,No,,,
102,Korba,2025,6,26,13:41,43323.6808,No,,,
18,Tiruchirappalli,2025,5,11,6:44,332173.9156,No,,,
159,Nashik,2025,11,16,6:20,1387591.2,No,,,
61,Ratlam,2025,8,1,13:14,1130115.944,No,,,
36,Noida,2025,7,17,22:27,-2312652.0,No,,,
8,Thoothukudi,2025,11,24,14:40,26980.94,No,,,
113,Rourkela,2025,4,12,6:12,990894.2936,No,,,
129,Mau,2025,4,28,6:20,878036.876,No,,,
4,Vijayawada,2025,1,9,6:01,1023888.129,No,,,
98,Bhilai,2025,3,6,11:18,631585.2612,No,,,
44,Ahmedabad,2025,1,8,6:37,305963.8596,No,,,
123,Purnia,2025,2,22,13:37,507858.3792,No,,,
34,Bhatpara,2025,9,27,13:29,78244.726,No,,,
132,Noida,2025,10,12,9:56,615473.7856,No,,,
74,Korba,2025,4,25,20:21,296944.5168,No,,,
179,Aligarh,2025,4,7,20:16,536612.3524,No,,,
27,Tumkur,2025,7,14,6:10,1135512.132,Yes,,,
65,Kota,2025,6,19,13:49,93276.964,Yes,,,
22,Jalandhar,2025,11,2,13:28,89576.7208,No,,,
176,Rajkot,2025,11,19,17:37,53345.1728,No,,,
167,Mirzapur,2025,4,9,6:00,1019956.62,No,,,
50,Mirzapur,2025,1,2,6:17,1122175.839,No,,,
126,Dhule,2025,9,1,6:25,1040616.312,No,,,
156,Bilaspur,2025,3,20,5:28,1121559.132,No,,,
106,Bally,2025,1,25,13:38,57353.7696,No,,,
101,Dhule,2025,10,2,6:20,893685.8212,No,,,
46,Jaipur,2025,12,26,8:06,186553.928,No,,,
18,Karol Bagh,2025,7,10,6:35,385827.442,No,,,
171,Asansol,2025,12,1,6:17,955279.4528,No,,,
172,Ramagundam,2025,1,29,6:05,1284755.274,No,,,
121,Siliguri,2025,9,18,6:03,1308190.148,Yes,,,
65,Srinagar,2025,4,25,12:07,770884.0,No,,,
67,Nizamabad,2025,10,21,6:51,741050.7892,No,,,
138,Dhanbad,2025,12,22,20:21,2307332.9,No,,,
171,Panihati,2025,11,29,13:05,74852.8364,Yes,,,
169,Ambattur,2025,8,11,8:16,-2829144.28,No,,,
149,Saharanpur,2025,11,6,6:32,299796.7876,No,,,
123,Pimpri-Chinchwad,2025,1,10,13:52,483190.0912,No,,,
16,Baranagar,2025,12,2,6:40,337801.3688,No,,,
31,Parbhani,2025,11,17,9:08,489048.8096,No,,,
171,Karol Bagh,2025,12,12,13:14,-562745.32,No,,,
116,Salem,2025,11,3,6:06,326469.374,No,,,
2,New Delhi,2025,11,3,5:36,1156942.707,No,,,
20,Shahjahanpur,2025,2,2,11:12,200661.1052,No,,,
127,Delhi,2025,10,6,6:18,1083785.816,No,,,
1,Ratlam,2025,10,4,6:20,885514.4508,No,,,
31,Parbhani,2025,11,1,6:47,275822.2952,No,,,
105,Rourkela,2025,7,14,20:18,424294.5536,No,,,
132,Noida,2025,10,26,6:34,317450.0312,No,,,
124,Khammam,2025,5,24,6:56,921745.9988,No,,,
43,Mirzapur,2025,8,23,6:56,244293.1396,Yes,,,
136,Gwalior,2025,7,9,6:35,1482564.109,No,,,
46,Jammu,2025,1,18,6:58,257860.698,No,,,
62,Udaipur,2025,11,25,6:32,288156.4392,No,,,
142,Vadodara,2025,9,16,6:07,832246.3664,Yes,,,
124,Thane,2025,4,16,20:03,3707952.04,No,,,
162,Thoothukudi,2025,5,6,19:34,1271033.539,No,,,
125,Lucknow,2025,8,1,9:33,1277123.523,No,,,
108,Imphal,2025,6,23,5:12,913960.0704,No,,,
18,Jamnagar,2025,7,28,13:58,655559.7536,No,,,
70,Kurnool,2025,12,20,13:26,385442.0,No,,,
51,Visakhapatnam,2025,5,21,13:27,-470239.24,No,,,
47,Cuttack,2025,6,7,12:48,77242.5768,No,,,
185,Naihati,2025,7,11,6:21,308970.3072,No,,,
75,Madurai,2025,9,26,6:16,1046166.676,Yes,,,
170,Nagpur,2025,10,15,5:09,1041155.93,No,,,
120,Lucknow,2025,8,31,6:00,892452.4068,No,,,
152,Bellary,2025,6,6,6:32,1063203.213,No,,,
96,Kakinada,2025,10,6,6:33,278289.124,No,,,
110,Saharanpur,2025,10,15,6:08,1043931.113,No,,,
94,Naihati,2025,3,11,20:01,655636.842,No,,,
38,Indore,2025,2,27,9:52,340499.4628,No,,,
138,Ahmednagar,2025,11,8,6:01,1233414.4,No,,,
54,Berhampur,2025,9,22,13:00,-555036.48,No,,,
5,Gorakhpur,2025,4,1,6:55,315908.2632,No,,,
123,Pimpri-Chinchwad,2025,2,23,13:25,447112.72,No,,,
34,Hapur,2025,11,22,13:09,-3353345.4,No,,,
179,Aligarh,2025,5,25,6:23,1174287.597,No,,,
182,Shahjahanpur,2025,11,13,11:16,-3530648.72,No,,,
174,Arrah,2025,7,12,6:07,856297.9472,No,,,
71,Madurai,2025,4,9,16:15,558813.8116,No,,,
3,Kolhapur,2025,12,20,5:50,949112.3808,No,,,
177,Ambattur,2025,1,23,6:47,997446.8076,No,,,
82,Rajahmundry,2025,2,3,6:51,268961.4276,No,,,
184,Raichur,2025,4,19,6:05,895998.4732,No,,,
184,Varanasi,2025,3,9,13:28,470007.9748,No,,,
163,Saharanpur,2025,6,15,5:56,907792.9984,No,,,
56,Mirzapur,2025,12,25,20:17,64908.4328,No,,,
74,Korba,2025,3,10,6:06,265184.096,No,,,
162,Ghaziabad,2025,5,29,6:08,1160257.508,No,,,
61,Belgaum,2025,4,1,6:12,1500294.441,No,,,
33,Panihati,2025,6,24,6:27,612390.2496,No,,,
106,Lucknow,2025,2,13,6:18,205209.3208,No,,,
178,Sri Ganganagar,2025,4,2,6:22,1082398.224,No,,,
133,Ulhasnagar,2025,1,15,6:11,842499.1236,No,,,
109,Belgaum,2025,7,17,6:26,1391599.797,No,,,
19,Surat,2025,10,18,6:16,925060.8,Yes,,,
117,Bhiwandi,2025,2,22,6:48,161577.2864,No,,,
189,Vasai-Virar,2025,2,13,6:39,268190.5436,No,,,
27,Latur,2025,9,16,6:48,137294.4404,No,,,
99,Aurangabad,2025,9,12,20:10,810507.4376,No,,,
167,Mirzapur,2025,4,9,6:00,1019956.62,No,,,
141,Dhule,2025,7,14,9:38,1118783.949,No,,,
133,Tumkur,2025,1,26,6:31,290700.3564,No,,,
134,Belgaum,2025,3,4,15:33,7414285.224,No,,,
69,Ujjain,2025,7,19,17:45,57122.5044,No,,,
56,Arrah,2025,11,23,6:02,405484.984,No,,,
154,Gandhidham,2025,12,12,5:31,1130270.121,No,,,
154,Gandhidham,2025,12,24,6:04,906713.7608,No,,,
165,Bhatpara,2025,11,30,9:46,632201.9684,No,,,
174,Arrah,2025,6,23,9:34,326315.1972,No,,,
98,Imphal,2025,2,4,6:32,202742.492,No,,,
96,Tiruppur,2025,2,21,13:06,91349.754,No,,,
152,Siliguri,2025,7,23,6:03,937086.5904,No,,,
124,Thane,2025,4,23,6:40,865933.9972,No,,,
134,Imphal,2025,2,18,6:07,849282.9028,No,,,
152,Rourkela,2025,6,19,6:24,1345578.022,Yes,,,
170,Moradabad,2025,9,20,19:49,679380.0692,Yes,,,
65,Singrauli,2025,4,6,6:56,448037.7808,No,,,
72,Alwar,2025,8,31,6:59,808194.7856,No,,,
18,Tiruchirappalli,2025,8,3,6:44,285149.9916,No,,,
110,Jalandhar,2025,11,2,13:01,561897.3476,No,,,
7,Kakinada,2025,10,20,7:28,867629.942,No,,,
89,Raipur,2025,5,28,6:07,454436.118,No,,,
104,Rewa,2025,1,22,13:17,479412.7596,No,,,
55,Ahmedabad,2025,6,5,6:11,294863.13,Yes,,,
113,Asansol,2025,4,11,6:15,1197414.117,No,,,
6,Gandhidham,2025,6,12,5:35,523276.0592,No,,,
8,Bikaner,2025,1,15,13:44,616707.2,No,,,
157,Thiruvananthapuram,2025,5,26,6:23,721316.1588,No,,,
69,Sambhal,2025,8,9,6:13,1388362.084,Yes,,,
25,Bhiwandi,2025,1,17,6:07,774352.978,Yes,,,
100,Surat,2025,2,16,20:26,592655.6192,No,,,
147,Bangalore,2025,7,8,20:42,239667.8356,No,,,
42,Delhi,2025,1,4,6:43,308507.7768,No,,,
119,Hubballi-Dharwad,2025,5,31,8:01,1834472.655,No,,,
17,Mau,2025,1,22,6:12,604218.8792,No,,,
10,Hospet,2025,10,6,13:20,-439403.88,No,,,
101,Visakhapatnam,2025,11,27,6:33,252849.952,No,,,
103,Kadapa,2025,11,16,13:28,97285.5608,No,,,
122,Shahjahanpur,2025,1,7,11:23,2525955.603,No,,,
138,Ahmednagar,2025,12,25,20:26,632587.4104,No,,,
186,Katihar,2025,8,13,6:29,1073070.528,No,,,
99,Aurangabad,2025,6,19,13:36,59203.8912,No,,,
62,Karimnagar,2025,9,15,6:06,423292.4044,No,,,
152,Parbhani,2025,6,10,6:24,919279.17,No,,,
52,Karol Bagh,2025,10,3,7:02,1160874.216,No,,,
84,Bhopal,2025,8,16,16:37,221629.15,Yes,,,
15,Varanasi,2025,7,30,6:33,222554.2108,No,,,
5,Allahabad,2025,4,13,6:43,362623.8336,No,,,
183,Jaipur,2025,3,1,6:45,284147.8424,No,,,
159,Jaipur,2025,11,22,12:00,-2096804.48,No,,,
133,Ulhasnagar,2025,1,14,13:59,491978.1688,No,,,
78,Kochi,2025,9,30,20:08,1465527.572,No,,,
33,Yamunanagar,2025,9,16,20:04,1174595.951,No,,,
30,Kozhikode,2025,8,25,13:16,72771.4496,No,,,
48,Jamnagar,2025,11,3,6:32,305886.7712,No,,,
105,Rourkela,2025,7,27,6:08,1172437.476,No,,,
136,Ambernath,2025,8,10,19:52,1311119.507,No,,,
126,Vijayawada,2025,9,5,6:37,293706.804,No,,,
54,Parbhani,2025,2,9,6:31,283299.87,No,,,
182,Shahjahanpur,2025,11,24,6:10,194648.21,No,,,
141,Purnia,2025,6,5,13:14,477948.08,No,,,
106,Lucknow,2025,1,16,13:44,385442.0,No,,,
117,Bhiwandi,2025,1,12,13:09,1328156.044,No,,,
80,Bhopal,2025,5,27,14:30,457905.096,No,,,
48,Vijayanagaram,2025,1,13,0:26,1087331.882,No,,,
68,Bhiwandi,2025,4,29,6:04,1254536.622,No,,,
145,Ranchi,2025,2,4,20:26,509091.7936,No,,,
3,Lucknow,2025,12,10,6:47,394923.8732,Yes,,,
23,Guwahati,2025,1,26,6:29,1142758.442,No,,,
9,Burhanpur,2025,6,23,8:12,332405.1808,No,,,
8,Thoothukudi,2025,11,22,20:26,385904.5304,No,,,
163,Saharanpur,2025,7,10,0:26,231727.7304,No,,,
134,Imphal,2025,3,20,10:25,560509.7564,No,,,
91,Noida,2025,1,10,13:27,452123.466,No,,,
19,Ulhasnagar,2025,11,7,6:27,1036145.184,No,,,
94,Rohtak,2025,2,18,6:01,867938.2956,No,,,
90,Berhampur,2025,12,4,7:15,115863.8652,No,,,
33,Panihati,2025,9,10,8:10,1046629.207,No,,,
83,Bhavnagar,2025,5,2,13:16,50107.46,No,,,
76,Vijayanagaram,2025,12,4,6:18,1482178.667,No,,,
118,Mira-Bhayandar,2025,2,25,6:33,213380.6912,Yes,,,
121,Nizamabad,2025,10,12,13:13,408183.078,No,,,
9,Burhanpur,2025,5,31,13:21,80403.2012,No,,,
72,Nadiad,2025,7,31,13:19,107846.6716,No,,,
119,Hubballi-Dharwad,2025,7,3,6:13,1118629.772,No,,,
96,Hubballi-Dharwad,2025,10,21,5:49,983339.6304,Yes,,,
163,Saharanpur,2025,7,21,6:28,1026663.311,No,,,
126,Dhule,2025,8,18,6:26,1192788.813,No,,,
31,Gaya,2025,12,22,20:20,680844.7488,No,,,
14,Bally,2025,3,8,6:05,1133122.392,No,,,
123,Pimpri-Chinchwad,2025,1,16,6:17,1153859.171,No,,,
6,Gandhidham,2025,4,27,6:42,386367.0608,No,,,
112,Nanded,2025,2,2,20:02,671285.7872,No,,,
179,Mira-Bhayandar,2025,5,19,6:02,946183.0216,No,,,
110,Saharanpur,2025,9,27,6:23,1024273.571,No,,,
74,Korba,2025,5,25,13:19,570454.16,No,,,
123,Yavatmal,2025,1,29,6:35,259479.5544,No,,,
88,Begusarai,2025,1,9,6:10,359386.1208,No,,,
104,Raurkela Industrial Township,2025,4,27,13:01,508783.44,No,,,
179,Mira-Bhayandar,2025,6,1,6:02,1138518.58,No,,,
74,Muzaffarpur,2025,4,11,13:41,442641.5928,Yes,,,
183,Belgaum,2025,2,14,16:34,1106681.07,No,,,
173,Korba,2025,3,27,7:21,1095271.987,No,,,
38,Sonipat,2025,3,11,13:20,82176.2344,No,,,
14,Gulbarga,2025,2,5,13:49,48411.5152,No,,,
20,Thane,2025,1,11,6:44,252927.0404,No,,,
4,Vijayawada,2025,1,29,21:41,248455.9132,No,,,
18,Karol Bagh,2025,8,22,6:39,282606.0744,No,,,
130,Salem,2025,6,29,13:03,88574.5716,Yes,,,
14,Barasat,2025,3,16,13:01,-755466.32,No,,,
61,Belgaum,2025,6,9,13:02,497913.9756,No,,,
161,Jabalpur,2025,3,21,6:10,511250.2688,No,,,
5,Gorakhpur,2025,3,18,6:15,1036530.626,No,,,
155,Solapur,2025,2,14,6:04,913189.1864,No,,,
54,Berhampur,2025,10,20,9:49,513717.0976,No,,,
23,Guwahati,2025,3,22,9:36,314983.2024,No,,,
133,Ulhasnagar,2025,1,24,6:47,371257.7344,No,,,
120,Lucknow,2025,8,2,13:29,-678377.92,No,,,
167,Sambhal,2025,4,9,14:27,24128.6692,No,,,
140,Silchar,2025,4,26,6:50,900315.4236,No,,,
153,Berhampur,2025,9,26,6:24,707363.1584,No,,,
54,Kolkata,2025,10,25,17:40,56737.0624,No,,,
34,Bhatpara,2025,11,29,17:40,54886.9408,No,,,
143,Etawah,2025,11,5,14:27,-763175.16,No,,,
154,Etawah,2025,11,9,12:33,66912.7312,No,,,
189,Thoothukudi,2025,2,16,6:29,737427.6344,No,,,
79,Panchkula,2025,2,15,13:54,485811.0968,Yes,,,
71,Yavatmal,2025,5,29,13:25,1021112.946,No,,,
148,Karol Bagh,2025,10,8,20:36,1274271.252,No,,,
65,Srinagar,2025,6,12,10:52,17267.8016,No,,,
177,Ambattur,2025,12,23,14:16,6490689.103,No,,,
164,Katihar,2025,8,15,6:03,1364541.768,No,,,
82,Bidhannagar,2025,3,3,6:59,186939.37,No,,,
143,Kakinada,2025,11,7,6:19,302880.3236,No,,,
144,Mau,2025,1,26,13:44,455823.7092,No,,,
20,Shahjahanpur,2025,3,11,9:34,454975.7368,No,,,
172,Ramagundam,2025,2,27,9:50,247839.206,No,,,
97,Durgapur,2025,4,18,6:35,274820.146,Yes,,,
158,Mira-Bhayandar,2025,7,15,21:31,301955.2628,Yes,,,
61,Belgaum,2025,7,12,11:59,260635.8804,No,,,
171,Bangalore,2025,1,19,6:17,1089259.092,No,,,
74,Korba,2025,7,3,6:34,329475.8216,No,,,
3,Jamshedpur,2025,11,15,14:05,447343.9852,No,,,
173,Korba,2025,3,27,7:21,1095271.987,No,,,
18,Tiruvottiyur,2025,5,26,6:07,918122.844,Yes,,,
61,Belgaum,2025,6,17,6:38,291239.9752,No,,,
181,Rourkela,2025,9,28,16:59,1028898.875,Yes,,,
181,Hapur,2025,10,6,13:50,64522.9908,No,,,
109,Sambhal,2025,9,2,13:37,80403.2012,No,,,
121,Latur,2025,9,4,12:55,-1534059.16,Yes,,,
86,Baranagar,2025,5,1,20:06,691174.5944,No,,,
56,Agartala,2025,11,9,14:22,22663.9896,No,,,
63,Dehradun,2025,8,13,6:06,514950.512,Yes,,,
128,Guntur,2025,3,11,5:25,1098278.435,No,,,
143,Nanded,2025,11,23,16:38,661033.03,No,,,
151,Rourkela,2025,4,17,20:13,638446.1288,No,,,
151,Muzaffarnagar,2025,3,20,19:26,1173979.244,No,,,
18,Tiruchirappalli,2025,5,25,16:06,944024.5464,No,,,
94,Naihati,2025,12,23,6:35,281912.2788,No,,,
11,Muzaffarnagar,2025,12,24,11:48,11254.9064,No,,,
105,Sri Ganganagar,2025,8,15,6:36,318066.7384,No,,,
84,Chennai,2025,10,30,6:56,203975.9064,Yes,,,
169,Vadodara,2025,8,19,6:57,186631.0164,Yes,,,
67,Nizamabad,2025,11,24,20:29,785068.2656,No,,,
23,Khammam,2025,2,21,13:01,555036.48,No,,,
28,Raichur,2025,1,11,6:39,462838.7536,No,,,
145,Ranchi,2025,3,28,16:31,801796.4484,No,,,
118,Secunderabad,2025,3,26,10:33,1217380.013,No,,,
20,Nadiad,2025,1,27,6:39,1386743.228,No,,,
16,Baranagar,2025,12,2,6:40,337801.3688,No,,,
134,Satara,2025,2,7,6:01,905634.5232,No,,,
14,Bally,2025,12,2,13:29,79632.3172,No,,,
157,Sagar,2025,5,17,6:51,304422.0916,No,,,
135,Meerut,2025,4,25,6:26,1121482.043,No,,,
16,Bhavnagar,2025,10,18,6:31,222631.2992,No,,,
17,Ambattur,2025,1,11,13:24,-416277.36,No,,,
188,Kota,2025,11,30,9:36,541468.9216,No,,,
72,Nadiad,2025,7,25,6:11,436551.6092,No,,,
71,Erode,2025,4,27,6:39,223093.8296,No,,,
155,Saharanpur,2025,1,24,13:36,450042.0792,No,,,
181,Bidar,2025,8,28,6:38,276284.8256,No,,,
188,Panihati,2025,1,30,6:29,911493.2416,Yes,,,
144,Gopalpur,2025,1,9,6:12,1122021.662,No,,,
72,Alwar,2025,9,16,13:00,-539618.8,No,,,
16,Jaipur,2025,11,24,20:19,585794.7516,No,,,
148,Nizamabad,2025,10,15,20:55,318760.534,No,,,
107,Mumbai,2025,2,16,15:29,779055.3704,Yes,,,
81,Hapur,2025,9,17,6:36,285766.6988,No,,,
173,Korba,2025,4,5,6:13,1087717.324,No,,,
22,Kozhikode,2025,9,22,6:53,290546.1796,No,,,
94,Naihati,2025,3,14,6:14,554959.3916,No,,,
3,Moradabad,2025,11,19,19:42,738198.5184,No,,,
90,Gulbarga,2025,8,12,22:23,214305.752,No,,,
